
METODO Delaunay - CRAB

PONTOS
6847
293.231	57.8585	0	293.185	62.7367	0	292.017	60.0205	0
293.231	57.8585	0	292.017	60.0205	0	292.564	58.4771	0
292.017	60.0205	0	293.185	62.7367	0	291.408	61.4248	0
293.231	57.8585	0	292.564	58.4771	0	291.092	57.8653	0
292.564	58.4771	0	292.017	60.0205	0	291.092	57.8653	0
292.017	60.0205	0	291.408	61.4248	0	289.247	61.1648	0
291.408	61.4248	0	293.185	62.7367	0	292.974	62.9953	0
293.231	57.8585	0	291.092	57.8653	0	292.414	54.2434	0
291.092	57.8653	0	292.017	60.0205	0	289.247	61.1648	0
289.247	61.1648	0	291.408	61.4248	0	289.596	62.2976	0
291.408	61.4248	0	292.974	62.9953	0	291.861	63.4905	0
292.974	62.9953	0	293.185	62.7367	0	292.155	66.2632	0
293.231	57.8585	0	292.414	54.2434	0	292.038	50.4767	0
292.414	54.2434	0	291.092	57.8653	0	290.759	54.6969	0
291.092	57.8653	0	289.247	61.1648	0	290.759	54.6969	0
289.247	61.1648	0	289.596	62.2976	0	288.836	62.536	0
289.596	62.2976	0	291.408	61.4248	0	290.027	63.3396	0
291.408	61.4248	0	291.861	63.4905	0	290.027	63.3396	0
291.861	63.4905	0	292.974	62.9953	0	291.518	65.043	0
292.974	62.9953	0	292.155	66.2632	0	291.518	65.043	0
292.155	66.2632	0	293.185	62.7367	0	292.116	66.9108	0
292.038	50.4767	0	292.414	54.2434	0	290.759	54.6969	0
290.759	54.6969	0	289.247	61.1648	0	239.923	51.1866	0
289.247	61.1648	0	288.836	62.536	0	286.095	67.2972	0
288.836	62.536	0	289.596	62.2976	0	290.027	63.3396	0
290.027	63.3396	0	291.861	63.4905	0	291.518	65.043	0
291.518	65.043	0	292.155	66.2632	0	291.03	66.7936	0
292.155	66.2632	0	292.116	66.9108	0	291.03	66.7936	0
292.116	66.9108	0	293.185	62.7367	0	292.164	69.9237	0
292.038	50.4767	0	290.759	54.6969	0	291.781	50.1243	0
290.759	54.6969	0	239.923	51.1866	0	291.713	48.9883	0
239.923	51.1866	0	289.247	61.1648	0	286.095	67.2972	0
286.095	67.2972	0	288.836	62.536	0	287.402	65.6074	0
288.836	62.536	0	290.027	63.3396	0	288.71	65.3255	0
290.027	63.3396	0	291.518	65.043	0	288.71	65.3255	0
291.518	65.043	0	291.03	66.7936	0	288.71	65.3255	0
291.03	66.7936	0	292.116	66.9108	0	291.012	67.2019	0
292.116	66.9108	0	292.164	69.9237	0	291.012	67.2019	0
292.164	69.9237	0	293.185	62.7367	0	283.758	129.39	0
292.038	50.4767	0	291.781	50.1243	0	291.713	48.9883	0
291.781	50.1243	0	290.759	54.6969	0	291.713	48.9883	0
291.713	48.9883	0	239.923	51.1866	0	239.596	48.1146	0
239.923	51.1866	0	286.095	67.2972	0	239.905	54.7277	0
286.095	67.2972	0	287.402	65.6074	0	288.445	66.6771	0
287.402	65.6074	0	288.836	62.536	0	288.71	65.3255	0
288.71	65.3255	0	291.03	66.7936	0	288.445	66.6771	0
291.03	66.7936	0	291.012	67.2019	0	288.445	66.6771	0
291.012	67.2019	0	292.164	69.9237	0	290.431	69.4937	0
292.164	69.9237	0	283.758	129.39	0	289.976	75.9254	0
291.713	48.9883	0	239.596	48.1146	0	239.498	46.5142	0
239.596	48.1146	0	239.923	51.1866	0	239.628	50.4491	0
239.923	51.1866	0	239.905	54.7277	0	239.533	54.0817	0
239.905	54.7277	0	286.095	67.2972	0	239.873	57.1849	0
286.095	67.2972	0	288.445	66.6771	0	287.518	69.0896	0
288.445	66.6771	0	287.402	65.6074	0	288.71	65.3255	0
288.445	66.6771	0	291.012	67.2019	0	290.431	69.4937	0
290.431	69.4937	0	292.164	69.9237	0	291.894	70.3096	0
292.164	69.9237	0	289.976	75.9254	0	290.643	73.8665	0
289.976	75.9254	0	283.758	129.39	0	289.101	77.8195	0
291.713	48.9883	0	239.498	46.5142	0	238.031	41.6713	0
239.498	46.5142	0	239.596	48.1146	0	239.506	47.1173	0
239.596	48.1146	0	239.628	50.4491	0	238.382	49.1578	0
239.628	50.4491	0	239.923	51.1866	0	238.635	51.1592	0
239.923	51.1866	0	239.533	54.0817	0	238.635	51.1592	0
239.533	54.0817	0	239.905	54.7277	0	237.566	55.091	0
239.905	54.7277	0	239.873	57.1849	0	239.82	56.8395	0
239.873	57.1849	0	286.095	67.2972	0	239.9	57.9861	0
286.095	67.2972	0	287.518	69.0896	0	285.625	68.7316	0
287.518	69.0896	0	288.445	66.6771	0	290.431	69.4937	0
290.431	69.4937	0	291.894	70.3096	0	290.376	70.7184	0
291.894	70.3096	0	292.164	69.9237	0	290.643	73.8665	0
290.643	73.8665	0	289.976	75.9254	0	289.267	74.1454	0
289.976	75.9254	0	289.101	77.8195	0	288.073	74.9097	0
289.101	77.8195	0	283.758	129.39	0	285.607	85.8374	0
291.713	48.9883	0	238.031	41.6713	0	235.418	38.2182	0
238.031	41.6713	0	239.498	46.5142	0	238.685	44.2845	0
239.498	46.5142	0	239.506	47.1173	0	238.03	47.8381	0
239.506	47.1173	0	239.596	48.1146	0	238.03	47.8381	0
239.596	48.1146	0	238.382	49.1578	0	238.03	47.8381	0
238.382	49.1578	0	239.628	50.4491	0	238.635	51.1592	0
238.635	51.1592	0	239.533	54.0817	0	237.566	55.091	0
237.566	55.091	0	239.905	54.7277	0	239.82	56.8395	0
239.82	56.8395	0	239.873	57.1849	0	236.622	58.4051	0
239.873	57.1849	0	239.9	57.9861	0	236.622	58.4051	0
